num_critic_for_reviews,duration,director_likes,actor3_likes,actor2_likes,actor1_likes,num_voted_users,cast_total_facebook_likes,num_user_for_reviews,budget,title_year,imdb_score,movie_facebook_likes,gross,class
66,105,439,2431,5698,79674,48095,16400,194,20000000,2003,5.8,0,35990505,B
43,90,20,7664,13917,6758,3662,3146,23,5000000,2009,4.7,546,92900,A
91,135,174582,248457,4004,24443,46221,16762,141,40000000,1997,7.1,0,45856732,B
62,99,1093,3851,1039288,195388,7991,4797,30,,2010,4.9,0,24708699,A
133,103,550,605,5844,1507,29523,3150,121,58000000,2009,4.7,0,29580087,A
64,109,2447,25,7,6698,14870,605,86,18000000,1985,6.8,0,4250320,A
89,96,854095,38519,28907,3972886,47800,17292,244,35000000,2004,6.3,0,22913677,A
19,117,57,1209,3880,16268,666,1753,40,,1997,7,91,821997,A
214,107,346,1007,581,243,114925,568,234,39000000,2009,7.1,13000,63411478,B
17,85,50,117910,1167121,6746,132,54484,2,1200000,2007,6.2,87,7826,A
14,102,0,218,1340,5777755,14129,14281,39,11000000,1991,5.1,967,2807854,A
137,129,4492,5998,380,115445,71574,2864,244,75000000,2005,5.9,951,45356386,B
175,111,409,298,0,6561,48559,3784,145,25000000,2014,6,0,33631221,B
165,94,6403,2129,105628,1567191,70121,17883,214,135000000,2015,6.7,26000,177343675,B
50,102,658,163,1569,11833,1275,1262,27,17000000,1981,6.4,0,2000000,A
52,95,170090,145986,6562,10288,21212,3092,107,13000000,1994,6.7,3000,7881335,A
280,95,7389,5435,4300,58048,40800,1797,332,2000000,2007,5.7,0,952620,A
225,108,7790226,13175,23603,162874,23775,4710,134,28000000,2016,5.8,73000,10907291,A
140,100,19305,13965,7339,5686,72867,25206,120,75000000,2010,5.4,0,47000485,B
31,109,193,2307,16751,3608,6915,3843,209,6000000,1997,7.3,599,14821531,A
118,101,550,202,36137,1968,85673,2636,269,60000000,2002,6.1,0,93307796,B
45,83,222,1082,5948,3492,14005,3438,67,24000000,1998,5.9,418,100491683,B
60,133,86,355884,22333,5767,40858,2916,144,55000000,1996,6.4,0,68750000,B
411,104,418,1444,823,38756,126893,14504,440,15000000,2016,7.3,33000,71897215,B
202,110,224,10170,3989,3375,141533,4714,786,78000000,2003,5.8,0,66462600,B
39,99,259,188,67,3309,4359,1156,73,,2000,7.3,495,110000,A
197,119,800,45160,1312197,10334,87768,2925,187,32000000,2010,6.3,12000,13763130,A
17,83,760202,2999,57132,110041,24958,17469,103,6200000,1994,3.3,321,126247,A
87,90,14461,9333,2588,11406,60460,4377,104,14000000,2010,7.7,14000,1752214,A
52,106,358,40190,1177198,77212,3198,6419,43,6000000,2001,6.3,478,27457409,A
156,91,95,2477,507,10761,75920,1083,474,35000000,2002,5.5,0,30079316,B
328,90,2831,13951,908,6286,31489,1442,140,8000000,2015,7.3,0,3442820,A
74,107,58,678048,5607,5323,6221,2125,87,2500000,1999,7,500,1282084,A
66,119,21232,21234,8665,91817,23823,3306,201,8550000,2004,5.6,713,4992159,A
75,88,22807,5369025,19021,18493233,15880,11972,93,50000000,2004,4.9,288,6471394,A
195,101,200,1212,410067,19392,40964,3612,245,35000000,2008,6.2,0,28687835,A
18,106,1169,1147,6508,1297422,6585,2724,50,6000000,1999,6.9,990,25047631,A
191,109,212,858,6130439,237884,63390,2753,160,12000000,2015,6.4,0,31990064,B
211,80,34157,78,121,35,168398,65,492,2700000,2004,8,13000,5792822,A
93,108,289,1070,512,1495,62271,1569,277,116000000,1997,5.8,0,67155742,B
118,90,1005,2723,2976,850943,52908,15494,102,55000000,2008,6.5,0,7871693,A
114,100,296487,1678124,1061145,2787630,7721,2165,72,3000000,2005,7.2,635,11694528,A
131,83,5,7606,1858419,5895825,124641,25788,289,105000000,1998,6.6,0,90646554,B
54,84,482,486,1032,29007687,5933,21124,102,1000000,1997,5.6,387,1950218,A
421,98,4627,16624,3375,15375,718837,2975,1043,180000000,2008,8.4,16000,223806889,B
116,112,396,2222000,1312197,8065,62584,2019,375,22000000,2005,6.6,0,36020063,B
84,113,950,5434,24680,14677,288451,2985,438,16000000,1994,7.3,0,127175354,B
61,92,176760,0,666,32403,57578,1168,210,1100000,1988,6.8,0,11806119,A
14,46,0,7458,208711,850944,1723,13448,13,,2000,7.5,407,18642318,A
63,88,4557,960,5398,1053,4122,1495,48,5000000,2009,4.1,0,143000,A
1,111,20326,1882,3521,12915,314,2059,10,12000000,2015,7.5,26000,14616,A
89,142,9674,8840,9065,2256034,93494,16580,394,70000000,2003,6.6,0,43426961,B
154,105,900,425395,25713,514530,74169,6727,112,42000000,2012,6.5,17000,45290318,B
155,97,0,3490,171,10232147,40305,10517,86,5000000,2010,6.4,0,2711210,A
181,120,346,0,853073,18783,44296,12452,144,110000000,2016,5.8,12000,66002193,B
233,95,2317,10232133,46379,31990,172754,46120,187,130000000,2010,7.3,13000,148337537,B
120,110,216,18172,2026,45723306,63599,25049,208,50000000,2005,5.8,0,18472363,A
378,165,187955,57780,15727,3255,242420,3988,918,210000000,2014,5.7,56000,245428137,B
88,94,61,5106,3986516,159746,3394,382,43,,2006,7.4,694,3117666,A
85,93,101,1552,588,9446351,12304,11860,73,,2006,6.7,799,17311,A
79,95,-1,1428,698,24428,26849,3185,107,8000000,2008,6,3000,108662,A
199,105,5858,46824,109452,4396802,99043,3697,643,60000000,1999,5.8,0,73648142,B
111,88,25,2781,1185,3102063,74945,2857,359,25000000,2008,1.9,0,14174654,A
87,92,1602,209,3327,2009,11283,1447,155,1000000,2006,7.7,0,1677838,A
29,81,1226,11276,1061148,1167119,6965,3848,69,10000000,2000,5.7,262,6982680,A
78,91,439,59,916,91817,41664,2543,205,17700000,2001,5.9,0,27087695,A
12,95,11148,28662,369827,9065,440,3586,9,,2010,5.9,279,27012,A
21,91,438,438,3957,10061,1595,1679,19,13000000,1996,5.9,69,2104000,A
182,83,2536,4268,69120,31839,56005,3374,112,10000000,2011,6.5,0,4244155,A
121,104,32498,902,2678847,5852,23986,2442,201,6500000,1980,7.1,0,31899000,B
175,111,2246,1098292,13,31839,124501,2978,154,30000000,2008,6.1,0,76806312,B
193,88,12412,1,4539,658985,12796,4729,52,200000,2013,6.8,0,59379,A
63,96,2519,486,0,2670,7394,2163,50,6000000,2009,6.7,0,115862,A
113,108,5858,2403,18172,287,22823,2799,113,22000000,2009,5.6,0,12232937,A
136,85,671,53683,1409,85,15775,511,69,,2011,6.7,0,405614,A
