num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,num_user_for_reviews,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,movie_facebook_likes,gross,Class
261,129,102,624,768,223127,3389,0,420,PG-13,29000000,2009,734,7.7,38000,255950375,B
20,105,121,354,3000,5668,5023,3,50,PG-13,25000000,1996,624,6.2,491,10070000,A
376,104,37,760,12000,235025,14863,0,265,G,200000000,2013,779,7.3,44000,268488329,B
282,92,34,322,383,35131,1945,0,255,R,11000000,2013,333,4.8,16000,34334256,B
107,93,44,596,15000,37952,27646,3,298,R,5000000,2002,11000,6.5,938,14015786,A
138,84,0,194,1000,142619,2065,0,586,R,60000,1998,512,7.5,24000,3216970,A
8,91,10,10,353,475,380,4,11,R,450000,1991,12,5.9,123,2712293,A
39,99,34,120,388,4359,1156,1,73,R,,2000,159,7.3,495,110000,A
72,99,79,956,16000,7909,28987,3,157,PG-13,25000000,2002,11000,4.9,261,10719367,A
199,105,212,811,1000,99043,3697,1,643,R,60000000,1999,975,5.8,0,73648142,B
148,104,16,584,1000,40654,3356,0,97,PG-13,35000000,2010,700,5.3,0,37481242,B
25,98,71,658,22000,709,24382,1,34,R,500000,2001,1000,6,139,295468,A
160,92,13,17,42,22521,170,0,342,R,2200000,1985,27,4.7,1000,21300000,A
9,105,12,10,25,548,72,9,6,PG,,2010,11,3.4,277,531806,A
112,98,80,399,567,15033,2016,1,75,PG-13,17000000,2009,503,5.9,0,8662318,A
128,112,197,632,755,43795,3507,1,171,G,11000000,2008,734,4.5,0,90556401,B
765,165,16000,265,29000,955174,40978,1,1193,R,100000000,2012,11000,8.5,199000,162804648,B
187,131,218,29,5000,188887,5103,1,662,R,68000000,2001,35,7.6,0,51396781,B
9,107,58,324,699,3843,1592,1,25,R,20000000,1994,533,6.4,399,305070,A
147,113,0,781,13000,114070,15765,5,500,R,250000,1997,1000,7.3,0,12006514,A
8,84,0,36,169,191,312,0,10,R,,2002,80,5.8,7,25918,A
32,125,43,122,563,6142,1097,0,52,R,8500000,1979,236,6.9,1000,29200000,A
120,99,59,145,770,91093,1195,2,353,PG,70000000,1998,263,7,0,101217900,B
2,112,74,891,260000,606,263584,3,5,PG-13,1000000,2012,984,5.6,706,96734,A
153,92,35,179,19000,60230,19963,0,118,PG,132000000,2014,411,6.7,11000,83348920,B
80,118,529,472,40000,171882,69746,1,292,PG-13,11000000,1993,29000,7.8,14000,9170214,A
68,115,13,111,757,15817,1201,2,210,PG-13,18000000,2000,220,6.7,0,17174870,A
120,152,34,249,804,71919,1802,0,316,Unrated,6000000,1961,271,7.6,0,43650000,B
39,91,29,322,2000,15455,3855,1,80,R,45000000,1996,461,5.3,451,20400913,A
470,122,14000,1000,11000,333847,14959,2,2054,PG-13,185000000,2008,1000,6.2,5000,317011114,B
73,86,293,255,509,220392,2070,1,243,PG-13,45000000,1997,418,6.8,0,181395380,B
302,122,2000,1000,2000,88682,6161,1,241,R,35000000,2008,1000,7.7,0,18593156,A
57,95,293,744,851,86556,3155,1,99,PG-13,54000000,1996,773,5.6,960,128769345,B
118,91,39,562,1000,18042,3104,1,73,PG,55000000,2013,591,5.9,0,55747724,B
74,124,212,369,13000,96096,15229,1,172,R,70000000,1993,730,6.4,0,84049211,B
85,81,16,387,541,8860,2268,0,45,G,37000000,2008,521,4.5,279,30105968,B
143,110,675,968,16000,44339,19928,2,425,R,4000000,2002,977,6.7,0,6525762,A
425,92,22,159,648,66483,1122,0,452,R,3500000,2015,191,6.8,43000,25138292,A
112,112,17000,354,22000,67797,23737,0,223,R,500000,1973,926,7.4,0,32645,A
241,81,0,836,12000,143251,25489,0,710,R,19000000,2002,11000,7.7,0,22245861,A
184,88,65,681,3000,52069,5706,3,95,R,30000000,2013,697,5.6,0,19316646,A
338,114,0,140,979,106416,1766,1,205,PG-13,195000000,2013,557,6.3,22000,65171860,B
140,136,394,1000,24000,67856,36925,1,345,PG-13,100000000,2004,10000,6.7,0,67286731,B
213,102,23,436,25000,123558,26998,3,609,PG,45000000,1999,724,7.3,19000,71423726,B
58,84,71,553,8000,10777,10982,1,79,R,11000000,2000,723,5.1,671,13592872,A
50,103,37,452,944,31817,3143,3,117,PG,26000000,1996,893,6.2,0,105444419,B
231,99,0,84,11000,45396,11328,1,136,PG-13,5000000,2011,106,6.8,15000,9203192,A
79,107,0,91,603,20008,988,3,112,R,10000000,2008,175,5.7,883,578527,A
111,86,82,362,869,88518,3854,0,409,PG-13,30000000,2008,759,2.7,0,38232624,B
110,105,12000,643,12000,58743,14762,1,192,PG,17000000,1984,664,6.6,0,76400000,B
1,110,0,0,3,27,5,3,1,,1200000,2013,2,7.2,75,3830,A
24,113,9,12,71,1466,159,1,35,R,3000000,2002,65,5.4,63,19184015,A
253,118,89,344,15000,217507,16758,1,325,R,30000000,2008,975,7.2,0,62877175,B
120,116,380,774,18000,58023,32563,0,281,R,70000000,1998,13000,6.3,0,40932372,B
31,95,32,324,843,4875,2165,3,26,PG-13,25000000,2005,593,4.1,206,5654777,A
64,94,394,565,922,21542,2880,2,88,R,20000000,2002,855,6.1,977,12398628,A
63,97,2,461,890,26598,3161,4,132,R,20000000,2002,852,4.9,1000,8586376,A
110,106,80,723,2000,35514,5024,1,114,PG,18000000,2011,795,7.1,15000,43853424,B
66,95,8,399,529,1268,2749,3,23,,1500000,2009,423,6.2,195,17580,A
66,104,20,717,836,30462,3963,3,150,PG,12000000,2006,826,5.3,0,18595716,A
525,132,160,443,20000,791783,22417,1,2042,R,54000000,2005,979,8.2,48000,70496802,B
109,110,107,549,664,19440,3376,5,56,PG-13,11000000,2008,551,7.3,0,37766350,B
155,84,9,313,612,16594,1587,1,73,R,,2014,457,6.8,0,3122616,A
186,96,293,7000,87000,115099,108016,0,257,PG,175000000,2007,11000,5.4,2000,100289690,B
131,122,11000,188,11000,7976,22319,0,61,R,10000000,2015,11000,5.3,0,531009,A
323,109,304,736,940,86955,3277,0,275,R,10000000,2009,906,7.3,12000,47536959,B
459,85,198,387,2000,296787,3958,0,2192,PG-13,25000000,2008,1000,7,0,80034302,B
113,104,35,844,24000,19707,27806,0,128,PG,13000000,2006,912,6.3,862,10996440,A
75,112,58,42,552,9408,859,1,68,R,1500000,2005,265,6.7,608,712294,A
597,134,0,500,2000,439176,4251,0,695,R,20000000,2013,660,8.1,83000,56667870,B
81,97,152,135,674,9502,1395,1,100,R,3000000,1988,174,6.5,812,7282851,A
151,98,323,390,1000,22264,2763,3,289,R,70000000,2002,841,3,584,18990542,A
70,91,48,39,61,30842,222,8,93,PG-13,40000000,2012,46,5.9,0,18438149,A
201,94,52,214,683,84382,1488,2,158,R,40000000,2014,392,5.1,0,38543473,B
84,113,137,481,879,288451,2985,2,438,PG-13,16000000,1994,854,7.3,0,127175354,B
366,102,263,1000,6000,225273,10583,0,523,R,110000000,2014,1000,6.2,71000,106369117,B
21,94,4,518,844,1033,3583,0,26,PG,,2001,626,6.5,282,508867,A
25,109,6,271,1000,18140,2419,1,60,R,10000000,1980,745,6.1,855,69800000,B
104,76,6,421,12000,13581,13607,0,88,PG,110000000,2004,513,5.4,304,50026353,B
123,116,503,982,23000,53057,43887,0,457,PG-13,80000000,2003,18000,5.6,0,19480739,A
150,88,8,587,982,155262,3114,2,316,R,9000000,2004,729,7.1,0,18225165,A
83,109,97,355,13000,14354,14347,1,139,PG-13,12500000,2002,795,6.9,0,14060950,A
129,116,415,644,18000,98899,20970,1,394,PG-13,36000000,2002,669,7,0,71026631,B
405,109,0,48,140,95362,328,1,270,R,3000000,2013,63,7.9,62000,8114507,A
163,112,52,688,10000,32382,12897,1,99,R,5000000,2014,963,7,13000,2445646,A
216,81,541,328,991,207934,2562,0,629,R,13000000,2002,465,7.1,0,46563158,B
440,138,446,929,20000,328067,23755,1,533,PG-13,120000000,2013,992,6.7,68000,132550960,B
184,110,45,595,886,191437,3174,1,582,R,45000000,1998,650,7.1,0,70001065,B
263,79,30,265,940,111117,1594,0,245,PG-13,30000000,2009,271,7.1,13000,31743332,B
212,116,0,71,287,98535,600,4,734,R,40000000,2000,157,5.5,0,89138076,B
7,86,0,15,178,48,279,3,2,PG-13,200000,2008,58,7.5,26,215185,A
41,113,0,607,2000,9811,6510,8,100,PG-13,15000000,2007,721,5.6,1000,55184721,B
112,107,13,165,618,58297,1095,3,161,PG-13,30000000,2005,172,6.6,0,21835784,A
112,91,18,307,935,19331,2899,0,317,R,2500000,1993,805,4.3,949,15935068,A
27,85,0,742,11000,7690,14656,6,68,R,6500000,2004,826,6.7,376,70527,A
182,83,157,581,2000,56005,3374,5,112,R,10000000,2011,616,6.5,0,4244155,A
3,100,10,107,655,91,1064,7,3,,2500000,2006,157,6.6,144,118666,A
305,124,845,424,15000,147128,16881,0,277,R,30000000,2015,1000,7.5,44000,52418902,B
251,141,16000,78,378,132149,751,0,316,R,19000000,2006,85,7.9,5000,13753931,A
336,138,0,1000,13000,80861,27797,4,431,R,25000000,2013,11000,5.3,24000,16969390,A
32,140,0,210,436,17124,1394,2,68,R,35000000,1992,263,6.6,949,24276500,A
342,132,681,12000,23000,284792,55345,3,366,PG-13,125000000,2011,14000,7.3,54000,209805005,B
78,104,0,77,1000,12047,1292,4,122,R,12000000,2002,165,7.1,677,1779284,A
181,99,11,762,19000,43764,22554,1,291,PG-13,30000000,2002,953,5.4,0,17266505,A
92,110,278,181,3000,6147,3785,2,36,PG-13,20000000,2010,602,5.4,0,263365,A
434,169,0,903,18000,240396,29991,0,2367,PG-13,209000000,2006,10000,6.1,0,200069408,B
40,95,10,111,706,9693,1421,2,33,R,14000000,2002,266,5.7,530,25482931,A
89,96,13,973,11000,47800,17292,1,244,PG,35000000,2004,1000,6.3,0,22913677,A
110,116,18,249,2000,25346,3753,0,167,R,40000000,2000,1000,5.7,470,30199105,B
88,113,0,949,995,20539,4039,3,125,R,20000000,2007,975,5.9,681,18882880,A
65,95,49,261,702,3624,2007,1,27,PG-13,9000000,2007,616,6.2,313,2955039,A
126,124,287,475,9000,31113,10838,0,212,R,34000000,2000,1000,5.7,852,23360779,A
265,171,0,695,3000,982637,6521,0,2368,R,103000000,2000,933,8.5,21000,187670866,B
66,119,422,422,861,23823,3306,2,201,R,8550000,2004,499,5.6,713,4992159,A
56,98,10,912,10000,24438,13433,0,194,R,8000000,1995,1000,6.6,0,16115878,A
92,97,956,99,20000,19709,20798,3,167,PG-13,23000000,2001,551,6.1,0,27338033,A
196,116,51,465,18000,114294,30571,7,187,R,42000000,2014,11000,6.3,12000,54414716,B
12,121,35,473,4000,2047,6617,0,29,PG-13,5000000,2015,849,4.6,0,4700361,A
371,131,176,460,722,218711,3229,6,485,R,32500000,2011,655,6.8,27000,169076745,B
175,90,160,392,748,120786,3172,0,472,R,26000000,2003,439,6.2,0,46455802,B
181,86,35,179,851,266636,1777,0,385,PG,75000000,2005,436,6.9,0,193136719,B
283,133,219,701,15000,580999,17040,1,2110,R,4500000,2001,933,8.1,33000,727883,A
152,113,323,835,1000,73068,4660,0,419,R,48000000,1999,977,6.8,0,69304264,B
16,90,11,316,767,1245,2370,2,29,PG,6000000,2010,529,5.7,0,399611,A
249,117,0,12000,22000,537419,47728,1,1028,R,15000000,1998,12000,8.2,35000,17439163,A
116,162,333,362,14000,142067,15912,0,457,R,27000000,1996,1000,7.4,0,78651430,B
